LOCATION,TIME,Value
FRA,2000-03,10.1
FRA,2000-04,9.9
FRA,2000-05,9.7
FRA,2000-06,9.5
FRA,2000-07,9.4
FRA,2000-08,9.3
FRA,2000-09,9.1
FRA,2000-10,9
FRA,2000-11,8.9
FRA,2000-12,8.8
FRA,2001-01,8.7
FRA,2001-02,8.7
FRA,2001-03,8.7
FRA,2001-04,8.7
FRA,2001-05,8.7
FRA,2001-06,8.8
FRA,2001-07,8.8
FRA,2001-08,8.8
FRA,2001-09,8.8
FRA,2001-10,8.8
FRA,2001-11,8.8
FRA,2001-12,8.8
FRA,2002-01,8.8
FRA,2002-02,8.8
FRA,2002-03,8.7
FRA,2002-04,8.7
FRA,2002-05,8.6
FRA,2002-06,8.6
FRA,2002-07,8.6
FRA,2002-08,8.6
FRA,2002-09,8.6
FRA,2002-10,8.6
FRA,2002-11,8.6
FRA,2002-12,8.5
FRA,2003-01,8.2
FRA,2003-02,8.3
FRA,2003-03,8.4
FRA,2003-04,8.5
FRA,2003-05,8.5
FRA,2003-06,8.5
FRA,2003-07,8.5
FRA,2003-08,8.3
FRA,2003-09,8.5
FRA,2003-10,8.7
FRA,2003-11,8.8
FRA,2003-12,9
FRA,2004-01,8.9
FRA,2004-02,8.9
FRA,2004-03,8.9
FRA,2004-04,8.8
FRA,2004-05,8.8
FRA,2004-06,8.8
FRA,2004-07,8.8
FRA,2004-08,8.8
FRA,2004-09,8.9
FRA,2004-10,8.9
FRA,2004-11,9
FRA,2004-12,8.9
FRA,2005-01,8.7
FRA,2005-02,8.6
FRA,2005-03,8.6
FRA,2005-04,8.7
FRA,2005-05,8.8
FRA,2005-06,8.9
FRA,2005-07,8.9
FRA,2005-08,9
FRA,2005-09,9
FRA,2005-10,9.1
FRA,2005-11,9.1
FRA,2005-12,9.1
FRA,2006-01,9.2
FRA,2006-02,9.2
FRA,2006-03,9.1
FRA,2006-04,9
FRA,2006-05,8.9
FRA,2006-06,8.9
FRA,2006-07,9
FRA,2006-08,9
FRA,2006-09,8.8
FRA,2006-10,8.5
FRA,2006-11,8.3
FRA,2006-12,8.3
FRA,2007-01,8.5
FRA,2007-02,8.5
FRA,2007-03,8.4
FRA,2007-04,8.2
FRA,2007-05,8.1
FRA,2007-06,8.1
FRA,2007-07,8.1
FRA,2007-08,8
FRA,2007-09,7.9
FRA,2007-10,7.7
FRA,2007-11,7.5
FRA,2007-12,7.3
FRA,2008-01,7.2
FRA,2008-02,7.1
FRA,2008-03,7.1
FRA,2008-04,7.3
FRA,2008-05,7.3
FRA,2008-06,7.4
FRA,2008-07,7.5
FRA,2008-08,7.5
FRA,2008-09,7.5
FRA,2008-10,7.6
FRA,2008-11,7.8
FRA,2008-12,8
FRA,2009-01,8.2
FRA,2009-02,8.6
FRA,2009-03,8.9
FRA,2009-04,9.1
FRA,2009-05,9.2
FRA,2009-06,9.2
FRA,2009-07,9.1
FRA,2009-08,9.2
FRA,2009-09,9.3
FRA,2009-10,9.5
FRA,2009-11,9.6
FRA,2009-12,9.5
FRA,2010-01,9.5
FRA,2010-02,9.4
FRA,2010-03,9.3
FRA,2010-04,9.3
FRA,2010-05,9.3
FRA,2010-06,9.2
FRA,2010-07,9.2
FRA,2010-08,9.2
FRA,2010-09,9.2
FRA,2010-10,9.2
FRA,2010-11,9.2
FRA,2010-12,9.2
FRA,2011-01,9.2
FRA,2011-02,9.2
FRA,2011-03,9.1
FRA,2011-04,9.1
FRA,2011-05,9.1
FRA,2011-06,9.1
FRA,2011-07,9.2
FRA,2011-08,9.2
FRA,2011-09,9.2
FRA,2011-10,9.3
FRA,2011-11,9.4
FRA,2011-12,9.4
FRA,2012-01,9.5
FRA,2012-02,9.5
FRA,2012-03,9.6
FRA,2012-04,9.7
FRA,2012-05,9.7
FRA,2012-06,9.7
FRA,2012-07,9.6
FRA,2012-08,9.6
FRA,2012-09,9.8
FRA,2012-10,10.1
FRA,2012-11,10.2
FRA,2012-12,10.3
FRA,2013-01,10.4
FRA,2013-02,10.4
FRA,2013-03,10.4
FRA,2013-04,10.5
FRA,2013-05,10.4
FRA,2013-06,10.4
FRA,2013-07,10.3
FRA,2013-08,10.1
FRA,2013-09,10.2
FRA,2013-10,10.1
FRA,2013-11,10.2
FRA,2013-12,10.2
FRA,2014-01,10.2
FRA,2014-02,10.2
FRA,2014-03,10.2
FRA,2014-04,10.2
FRA,2014-05,10.2
FRA,2014-06,10.2
FRA,2014-07,10.2
FRA,2014-08,10.2
FRA,2014-09,10.3
FRA,2014-10,10.4
FRA,2014-11,10.5
FRA,2014-12,10.5
FRA,2015-01,10.4
FRA,2015-02,10.3
FRA,2015-03,10.4
FRA,2015-04,10.4
FRA,2015-05,10.5
FRA,2015-06,10.4
FRA,2015-07,10.3
FRA,2015-08,10.3
FRA,2015-09,10.3
FRA,2015-10,10.3
FRA,2015-11,10.3
FRA,2015-12,10.3
FRA,2016-01,10.3
FRA,2016-02,10.4
FRA,2016-03,10.2
FRA,2016-04,10.1
FRA,2016-05,10
FRA,2016-06,9.9
FRA,2016-07,9.8
FRA,2016-08,9.8
FRA,2016-09,9.9
FRA,2016-10,10.1
FRA,2016-11,10.1
FRA,2016-12,10
FRA,2017-01,9.7
FRA,2017-02,9.6
FRA,2017-03,9.6
FRA,2017-04,9.5
FRA,2017-05,9.6
FRA,2017-06,9.5
FRA,2017-07,9.5
FRA,2017-08,9.5
FRA,2017-09,9.3
FRA,2017-10,9.1
FRA,2017-11,9
FRA,2017-12,9
FRA,2018-01,9.2
FRA,2018-02,9.3
FRA,2018-03,9.3
FRA,2018-04,9.2
FRA,2018-05,9.2
FRA,2018-06,9.1
FRA,2018-07,8.9
FRA,2018-08,8.9
FRA,2018-09,8.8
FRA,2018-10,8.8
FRA,2018-11,8.8
FRA,2018-12,8.8
FRA,2019-01,8.7
FRA,2019-02,8.7
FRA,2019-03,8.7
FRA,2019-04,8.5
FRA,2019-05,8.6
FRA,2019-06,8.5
FRA,2019-07,8.3
FRA,2019-08,8.2
