,Team,Total,Type,Value
0,Australia,178,g,67
1,Australia,178,s,57
2,Australia,178,b,54
3,England,176,g,57
4,England,176,s,66
5,England,176,b,53
6,Canada,92,g,26
7,Canada,92,s,32
8,Canada,92,b,34
9,India,61,g,22
10,India,61,s,16
11,India,61,b,23
12,New Zealand,49,g,20
13,New Zealand,49,s,12
14,New Zealand,49,b,17
15,Scotland,51,g,13
16,Scotland,51,s,11
17,Scotland,51,b,27
18,Nigeria,35,g,12
19,Nigeria,35,s,9
20,Nigeria,35,b,14
21,Wales,28,g,8
22,Wales,28,s,6
23,Wales,28,b,14
24,South Africa,27,g,7
25,South Africa,27,s,9
26,South Africa,27,b,11
27,Malaysia,23,g,7
28,Malaysia,23,s,8
29,Malaysia,23,b,8
