Entity,Code,Year,Floating-Point Operations per Second,Floating-Point Operations per Second in Trillions
World,OWID_WRL,1993,1.24E+11,1.24E-01
World,OWID_WRL,1994,1.70E+11,1.70E-01
World,OWID_WRL,1995,1.70E+11,1.70E-01
World,OWID_WRL,1996,3.68E+11,3.68E-01
World,OWID_WRL,1997,1.30E+12,1.30E+00
World,OWID_WRL,1998,1.30E+12,1.30E+00
World,OWID_WRL,1999,2.40E+12,2.40E+00
World,OWID_WRL,2000,4.90E+12,4.90E+00
World,OWID_WRL,2001,7.20E+12,7.20E+00
World,OWID_WRL,2002,3.59E+13,3.59E+01
World,OWID_WRL,2003,3.59E+13,3.59E+01
World,OWID_WRL,2004,7.07E+13,7.07E+01
World,OWID_WRL,2005,2.81E+14,2.81E+02
World,OWID_WRL,2006,2.81E+14,2.81E+02
World,OWID_WRL,2007,4.78E+14,4.78E+02
World,OWID_WRL,2008,1.10E+15,1.10E+03
World,OWID_WRL,2009,1.80E+15,1.80E+03
World,OWID_WRL,2010,2.60E+15,2.60E+03
World,OWID_WRL,2011,1.05E+16,1.05E+04
World,OWID_WRL,2012,1.76E+16,1.76E+04
World,OWID_WRL,2013,3.39E+16,3.39E+04
World,OWID_WRL,2014,3.39E+16,3.39E+04
World,OWID_WRL,2015,3.39E+16,3.39E+04
World,OWID_WRL,2016,9.30E+16,9.30E+04
World,OWID_WRL,2017,9.30E+16,9.30E+04
World,OWID_WRL,2018,1.44E+17,1.44E+05
World,OWID_WRL,2019,1.49E+17,1.49E+05
World,OWID_WRL,2020,4.42E+17,4.42E+05
World,OWID_WRL,2021,4.42E+17,4.42E+05
