Entity,Code,Year,cost_per_mb
World,OWID_WRL,2001,5292.392885
World,OWID_WRL,2002,3413.801195
World,OWID_WRL,2003,2230.975235
World,OWID_WRL,2004,1028.850676
World,OWID_WRL,2005,766.7291219
World,OWID_WRL,2006,581.9197978
World,OWID_WRL,2007,397.0872994
World,OWID_WRL,2008,3.805578447
World,OWID_WRL,2009,0.781481494
World,OWID_WRL,2010,0.323241486
World,OWID_WRL,2011,0.086038201
World,OWID_WRL,2012,0.065569918
World,OWID_WRL,2013,0.056623078
World,OWID_WRL,2014,0.044534522
World,OWID_WRL,2015,0.013836765
World,OWID_WRL,2016,0.013063824
World,OWID_WRL,2017,0.01128205
World,OWID_WRL,2018,0.013691947
World,OWID_WRL,2019,0.006736851
World,OWID_WRL,2020,0.005688542
World,OWID_WRL,2021,0.005044957
