Country,Urban population,GDP per Capita
Afghanistan,26.314,368.754614175459
Africa Eastern and Southern,37.3236974939581,1537.3360209254
Africa Western and Central,48.4548062699179,1757.03062622138
Albania,62.969,6492.87201224634
Algeria,74.261,3690.62787797599
American Samoa,87.169,15743.3107582991
Andorra,87.858,42137.3272710372
Angola,67.46,1953.53375721508
Antigua and Barbuda,24.38,15781.3957017982
Arab World,59.2948864669767,6266.35991574864
Argentina,92.229,10636.1201956183
Armenia,63.431,4966.51347122366
Aruba,43.866,29342.1008575886
Australia,86.362,60443.1091649968
Austria,58.995,53637.7057109897
Azerbaijan,56.776,5387.99797495383
"Bahamas, The",83.365,27478.3896289831
Bahrain,89.622,26562.9691354026
Bangladesh,38.946,2457.92487986361
Barbados,31.246,17225.4623044097
Belarus,79.91,7302.25779418774
Belgium,98.117,51247.0143531626
Belize,46.201,6228.26730928353
Benin,48.972,1319.1549945174
Bermuda,100.0,114090.328338579
Bhutan,43.008,3266.36490519183
Bolivia,70.475,3345.19658873831
Bosnia and Herzegovina,49.425,7143.3105484321
Botswana,71.56,6805.22127398897
Brazil,87.317,7507.16097080234
British Virgin Islands,48.92,
Brunei Darussalam,78.554,31449.0765620727
Bulgaria,76.025,12221.4966064171
Burkina Faso,31.24,893.077155776863
Burundi,14.058,221.477676223363
Cabo Verde,67.102,3293.23305430614
Cambodia,24.668,1625.23501955454
Cameroon,58.148,1666.93273443122
Canada,81.653,51987.9390529728
Caribbean small states,51.7824108322016,10063.6912979586
Cayman Islands,100.0,86568.7696368603
Central African Republic,42.648,461.137490166508
Central Europe and the Baltics,62.6892263629431,18751.026511843
Chad,23.781,685.690284124456
Channel Islands,31.012,
Chile,87.817,16265.0959767147
China,62.512,12556.3331200058
Colombia,81.74,6104.1367093039
Comoros,29.613,1577.47102705052
"Congo, Dem. Rep.",46.235,577.209215199828
"Congo, Rep.",68.283,2290.38289133244
Costa Rica,81.425,12472.4437294954
Cote d'Ivoire,52.18,2549.04129724734
Croatia,57.878,17685.3252834553
Cuba,77.292,9499.59020230432
Curacao,89.038,17717.5964802588
Cyprus,66.856,31551.81640625
Czechia,74.214,26821.2452279995
Denmark,88.24,68007.7566732954
Djibouti,78.217,3150.43672926335
Dominica,71.395,7653.17187042868
Dominican Republic,83.213,8476.75215730978
Early-demographic dividend,46.2764312962689,3702.69278613251
East Asia & Pacific,61.4732750233244,13041.7811855841
East Asia & Pacific (IDA & IBRD countries),58.321417787039,9880.09606977467
East Asia & Pacific (excluding high income),58.3746234613228,9771.64820574671
Ecuador,64.361,5965.13287054416
"Egypt, Arab Rep.",42.862,3698.83498105861
El Salvador,74.118,4551.18466141298
Equatorial Guinea,73.561,7506.66752306086
Eritrea,41.985,643.790042311239
Estonia,69.415,27943.701219882
Eswatini,24.369,3978.4035281759
Ethiopia,22.174,925.077428048534
Euro area,77.6998925694541,42450.1537720293
Europe & Central Asia,72.8224160321541,27152.4712288326
Europe & Central Asia (IDA & IBRD countries),66.8482888817966,9842.05226527455
Europe & Central Asia (excluding high income),68.1740241925032,8758.93855271138
European Union,75.1975712781401,38411.062779601
Faroe Islands,42.583,69010.3098011151
Fiji,57.74,4646.6127232145
Finland,85.596,53654.7502964259
Fragile and conflict affected situations,44.0393171505215,1784.73432479422
France,81.242,43658.9789781222
French Polynesia,62.066,19914.6035133645
Gabon,90.423,8635.32569443437
"Gambia, The",63.222,772.152395143237
Georgia,59.872,5023.27437961979
Germany,77.544,51203.5544731043
Ghana,57.985,2363.29929621422
Gibraltar,100.0,
Greece,80.038,20192.5963039061
Greenland,87.507,54571.2091605745
Grenada,36.694,9010.57224466261
Guam,95.015,35904.8635462723
Guatemala,52.245,5025.5422907779
Guinea,37.264,1189.17599946631
Guinea-Bissau,44.617,795.118569260485
Guyana,26.897,9998.54431136155
Haiti,57.964,1829.59304417211
Heavily indebted poor countries (HIPC),37.5157943246255,1035.89255286148
High income,81.4674538120607,48225.2412096793
Honduras,58.982,2771.71746050946
"Hong Kong SAR, China",100.0,49800.5424137576
Hungary,72.245,18728.1218948689
IBRD only,56.7186273274378,7221.4063511037
IDA & IBRD total,51.9046694149619,5682.46667679398
IDA blend,43.6537676452116,1842.77104941479
IDA only,36.0180313452994,1216.37298905564
IDA total,38.5761122565275,1426.02871329881
Iceland,93.944,68727.636664709
India,35.393,2256.59040870506
Indonesia,57.29,4332.70928089396
"Iran, Islamic Rep.",76.345,4091.20918670534
Iraq,71.119,4775.3774539013
Ireland,63.912,100172.079253421
Isle of Man,53.076,87157.4714603395
Israel,92.674,52170.7118623335
Italy,71.346,35657.4975631691
Jamaica,56.652,5183.58130458676
Japan,91.867,39312.6603730693
Jordan,91.626,4103.25896599583
Kazakhstan,57.821,10373.7897924367
Kenya,28.493,2081.79985458438
Kiribati,56.335,1606.46251377314
"Korea, Dem. People's Rep.",62.642,
"Korea, Rep.",81.414,34997.7816427848
Kuwait,100.0,24300.32943621
Kyrgyz Republic,37.146,1276.7003650159
Lao PDR,36.939,2535.6234315211
Late-demographic dividend,64.8761134229437,11465.857770559
Latin America & Caribbean,81.3770349656779,8327.60519038266
Latin America & Caribbean (excluding high income),80.8854026853617,7728.03330913836
Latin America & the Caribbean (IDA & IBRD countries),81.4068571996052,8108.91586994813
Latvia,68.421,21148.1629405415
Least developed countries: UN classification,35.2686897026611,1150.03014767511
Lebanon,89.093,4136.14634699332
Lesotho,29.48,1094.09818489303
Liberia,52.573,675.66318584916
Libya,80.994,6357.19555043805
Liechtenstein,14.471,157754.954373893
Lithuania,68.249,23723.3402510345
Low & middle income,51.6571235216204,5491.92212029334
Low income,34.4069487718536,704.508786523468
Lower middle income,42.9971651088422,2572.70514396668
Luxembourg,91.672,133590.146975586
"Macao SAR, China",100.0,43873.5911643329
Madagascar,39.207,500.511031950657
Malawi,17.695,634.835660105302
Malaysia,77.696,11109.2618387745
Maldives,41.102,10366.2933584066
Mali,44.677,873.794862375503
Malta,94.81,33486.671983855
Marshall Islands,78.162,6172.14506539834
Mauritania,56.133,2166.04679858214
Mauritius,40.775,9106.23720230699
Mexico,81.016,10045.6805004963
"Micronesia, Fed. Sts.",23.068,3571.33676887856
Middle East & North Africa,65.8062935809761,7562.82507779443
Middle East & North Africa (IDA & IBRD countries),62.0265042487802,3564.06602531565
Middle East & North Africa (excluding high income),62.2028611991592,3565.23934309396
Middle income,53.7572923517612,6074.0849211156
Moldova,42.998,5230.66173289497
Monaco,100.0,234315.460503547
Mongolia,68.785,4566.14015433014
Montenegro,67.826,9465.70399879557
Morocco,64.065,3795.38012695313
Mozambique,37.628,491.839112773674
Myanmar,31.448,1209.92694225482
Namibia,53.005,4865.55776470864
Nauru,100.0,10648.1413901852
Nepal,21.008,1208.21853383767
Netherlands,92.572,57767.8788108173
New Caledonia,71.925,37159.5467662165
New Zealand,86.789,48781.0266328884
Nicaragua,59.277,2045.53540189014
Niger,16.751,590.629454795899
Nigeria,52.746,2065.74906750923
North America,82.7499153328578,68369.6627865258
North Macedonia,58.786,6694.64112581709
Northern Mariana Islands,91.89,23707.3288138313
Norway,83.323,89154.2760934922
OECD members,81.2394184299766,42446.8593225577
Oman,87.044,19509.4664633867
